Customer ID,Total Sales,Total Profit,Total Quantity,Total Orders,Cluster
AA-10315,5563.56,-362.8825,30,11,1
AA-10375,1056.39,277.3824,41,15,1
AA-10480,1790.5120000000002,435.8274,36,12,1
AA-10645,5086.9349999999995,857.8033,64,18,0
AB-10015,886.156,129.3465,13,6,1
AB-10060,7755.62,2054.5885,56,18,2
AB-10105,14473.570999999998,5444.8055,73,20,2
AB-10150,966.71,313.6597,37,12,1
AB-10165,1113.838,220.813,48,14,1
AB-10255,914.5319999999999,264.5675,39,14,1
AB-10600,1515.862,-274.9604,38,8,1
AC-10420,925.8,-62.1342,17,5,1
AC-10450,5527.846,1366.0098,43,9,0
AC-10615,2537.6859999999997,298.8273,59,18,0
AC-10660,657.316,-28.700399999999995,16,6,1
AD-10180,6106.88,1869.9294,40,12,0
AF-10870,2052.908,317.9712,51,16,0
AF-10885,861.565,-163.1175,37,7,1
AG-10270,2582.898,732.7399,58,14,0
AG-10300,367.548,59.288399999999996,16,5,1
AG-10330,660.972,-5.137100000000006,47,9,1
AG-10390,200.945,69.2784,33,8,1
AG-10495,2356.855,295.6668,93,21,0
AG-10525,1455.038,-152.7613,33,9,1
AG-10675,3489.0396000000005,-246.42570000000003,54,15,0
AG-10765,170.584,-8.431000000000001,20,5,1
AG-10900,4510.797,343.6824,92,21,0
AH-10030,1744.7,365.2152,54,11,1
AH-10075,3250.337,281.189,75,20,0
AH-10120,1735.5140000000001,-2.3145999999999773,65,16,0
AH-10195,1587.452,-378.5509,28,8,1
AH-10210,4805.344,1308.5546,53,13,0
AH-10465,2495.3916,-196.12009999999998,35,8,1
AH-10585,738.504,83.96300000000001,17,5,1
AH-10690,7888.294,1298.0166,102,23,2
AI-10855,4375.786,867.7271000000001,72,18,0
AJ-10780,4867.344,150.71300000000005,62,15,0
AJ-10795,4501.391,1158.7064,88,21,0
AJ-10945,1839.24,521.1351999999999,40,10,1
AJ-10960,629.2479999999999,60.4265,22,5,1
AM-10360,814.012,194.9878,48,12,1
AM-10705,5664.022,1085.7326,81,22,0
AO-10810,161.28,12.096,2,1,1
AP-10720,1638.554,285.7888,85,19,0
AP-10915,3323.556,579.3113,102,31,0
AR-10345,1055.694,-221.0544,18,5,1
AR-10405,2236.128,-98.7646,29,7,1
AR-10510,264.86400000000003,43.6695,33,7,1
AR-10540,6608.448,2884.6208,33,9,2
AR-10570,88.15,32.633,6,2,1
AR-10825,4523.336,494.83519999999993,54,13,0
AS-10045,3050.692,-253.57459999999998,48,10,1
AS-10090,3255.31,64.53739999999998,81,25,0
AS-10135,58.82,21.8496,9,3,1
AS-10225,4260.784,719.7751000000001,41,13,0
AS-10240,584.6080000000001,33.715799999999994,39,13,1
AS-10285,3214.236,354.62760000000003,39,8,1
AS-10630,833.398,136.49190000000002,34,12,1
AT-10435,1171.814,100.87680000000002,28,9,1
AT-10735,3831.864,974.107,60,16,0
AW-10840,649.376,65.77250000000001,24,8,1
AW-10930,2852.968,-104.5486,68,16,0
AY-10555,497.014,103.3499,34,10,1
AZ-10750,1622.0179999999998,154.9503,40,12,1
BB-10990,744.3399999999999,11.583900000000007,26,8,1
BB-11545,6765.728,1015.0749999999999,83,20,2
BC-11125,2933.676,251.5974,60,18,0
BD-11320,5718.521,1094.5037,75,19,0
BD-11500,4411.2429999999995,1142.1225,49,10,0
BD-11560,320.54,116.714,11,4,1
BD-11605,3288.471,634.8463,74,20,0
BD-11620,1538.11,206.75689999999997,27,8,1
BD-11635,582.646,141.53400000000002,19,5,1
BD-11725,1526.5,333.9791,29,10,1
BD-11770,658.466,141.265,21,10,1
BE-11335,4204.676,1487.7739000000001,35,9,1
BE-11410,2261.438,755.9150999999999,19,5,1
BE-11455,1727.652,139.20080000000002,40,13,1
BF-10975,599.798,227.4384,38,13,1
